name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,price_per_night,days_since_last_review
Large Bedroom in Harlem,15940253,Manhattan,Harlem,40.82708,-73.9447,Private room,120,10,1,2,0,12.0,194.0
Studio of your own with a yard - pet friendly!,87328,Brooklyn,Park Slope,40.67917,-73.97951,Entire home/apt,120,5,1,1,0,24.0,419.0
"Small Private Room # 1, single / Twin  bed.",43825074,Brooklyn,Cypress Hills,40.68593,-73.87793,Private room,35,28,9,3,312,1.25,68.0
Sunny room in cozy Bushwick apartment,66754355,Brooklyn,Bushwick,40.70792,-73.91986,Private room,45,3,1,1,0,15.0,421.0
Rustic Modern Brooklyn Apt,14577537,Brooklyn,Bedford-Stuyvesant,40.69103,-73.9288,Entire home/apt,100,30,1,2,111,3.3333333333333335,431.0
Cozy private bedroom downtown,186680487,Manhattan,Two Bridges,40.71094,-73.99305,Private room,97,1,86,1,20,97.0,17.0
Charming Lux. 1 bedroom in Williamsburg,4350342,Brooklyn,Williamsburg,40.7116,-73.95137,Entire home/apt,225,2,21,1,88,112.5,15.0
Long term/16 month sublet. Great location!,4267075,Brooklyn,Clinton Hill,40.68458,-73.96805,Entire home/apt,89,365,1,2,0,0.24383561643835616,319.0
"Private, Cozy & Fully Equipped Room /20 min to NYC",130074377,Queens,Ridgewood,40.70092,-73.90714,Private room,80,1,16,2,220,80.0,13.0
Amazing room for Memorial day weekend only!,111876825,Queens,Maspeth,40.71319,-73.90315,Private room,200,2,0,1,365,100.0,0.0
Cozy gem in Bushwick/Bed-stuy,63671528,Brooklyn,Bedford-Stuyvesant,40.69475,-73.93586,Private room,40,7,1,1,0,5.714285714285714,407.0
"Modern, Private Room in Heart of East Village",7656338,Manhattan,East Village,40.72191,-73.98124,Private room,80,2,9,1,0,40.0,294.0
Spacious Modern Studio near Gramercy & Mad Sq Park,40502,Manhattan,Kips Bay,40.74183,-73.98166,Entire home/apt,175,2,29,1,0,87.5,35.0
Brand new 2-bed in luxury full-service building,3346513,Brooklyn,Downtown Brooklyn,40.69192,-73.98391,Entire home/apt,250,4,15,2,22,62.5,48.0
X-Large 1 Bedroom on McCarren Park,187116536,Brooklyn,Greenpoint,40.72251,-73.95103,Entire home/apt,135,3,58,1,70,45.0,22.0
Sonder | Hanover Square | Welcoming 1BR + Rooftop,12243051,Manhattan,Financial District,40.70401,-74.00932,Entire home/apt,179,29,0,96,1,6.172413793103448,0.0
"Spacious, Sunny, Exposed Brick Near Columbia Univ!",1262513,Manhattan,Washington Heights,40.85197,-73.93308,Private room,59,2,15,1,98,29.5,49.0
Cozy and Spacious Studio in Columbus Circle,130965770,Manhattan,Hell's Kitchen,40.76914,-73.98757,Entire home/apt,180,1,43,1,2,180.0,7.0
"The Manhattan Club, NYC",183736521,Manhattan,Midtown,40.76592,-73.98095,Private room,125,3,1,1,5,41.666666666666664,434.0
Cozy two bedroom apartment in the Upper East Side,5383703,Manhattan,Upper East Side,40.7648,-73.95862,Entire home/apt,170,7,29,1,173,24.285714285714285,24.0
Sonder | Hanover Square | Simple 1BR + Rooftop,12243051,Manhattan,Financial District,40.70518,-74.00994,Entire home/apt,182,29,2,96,347,6.275862068965517,98.0
Rare gem of an apartment in NYC.  So Spacious!,3749502,Manhattan,Washington Heights,40.83856,-73.94411,Private room,65,3,23,1,1,21.666666666666668,19.0
"Luxury Brooklyn brownstone, modern with backyard",4285260,Brooklyn,Bedford-Stuyvesant,40.68582,-73.93706,Entire home/apt,450,2,5,1,3,225.0,188.0
Private room with lots of surprise,38874050,Queens,Ridgewood,40.70125,-73.91051,Private room,42,2,39,3,141,21.0,15.0
Spacious Bedroom in Unique Williamsburg,91526716,Brooklyn,Williamsburg,40.71246,-73.96084,Private room,79,3,50,1,28,26.333333333333332,8.0
Cozy apt in vibrant Brooklyn neighborhood,22251843,Brooklyn,Prospect-Lefferts Gardens,40.66192,-73.96228,Entire home/apt,80,7,8,1,4,11.428571428571429,148.0
West Village Walk-Up.,22824452,Manhattan,West Village,40.73272,-74.00623,Entire home/apt,165,5,4,1,0,33.0,110.0
Cool and cozy in Brooklyn,1805238,Brooklyn,Prospect-Lefferts Gardens,40.65517,-73.95827,Private room,50,1,43,2,14,50.0,15.0
Spacious One Bedroom in the Heart of Brooklyn,4426154,Brooklyn,Prospect-Lefferts Gardens,40.65854,-73.962,Entire home/apt,75,2,2,1,0,37.5,337.0
Light-Filled Studio Across From Prospect Park,56051614,Brooklyn,Prospect Heights,40.67388,-73.96709,Entire home/apt,128,3,13,1,2,42.666666666666664,8.0
Full apartment in Harlem,110062861,Manhattan,Harlem,40.81448,-73.94547,Entire home/apt,122,4,17,2,245,30.5,36.0
Sunlit Room with Kitchen near Manhattan and LGA,39074591,Queens,Woodside,40.74699,-73.90844,Private room,46,1,2,1,0,46.0,19.0
Chic private room,187182730,Manhattan,Harlem,40.82511,-73.95341,Private room,85,4,3,1,179,21.25,412.0
Cozy apartment perfect for families with kids,5832321,Queens,Glendale,40.69709,-73.89556,Entire home/apt,150,2,4,2,0,75.0,176.0
Large 1 bedroom Upper East apartment,25146744,Manhattan,Upper East Side,40.77181,-73.95097,Entire home/apt,199,5,1,1,0,39.8,337.0
NYC living,60975812,Manhattan,Hell's Kitchen,40.75417,-73.99435,Private room,70,4,0,1,0,17.5,0.0
Dekalb Ave. #1L,187190679,Brooklyn,Bushwick,40.69933,-73.92463,Entire home/apt,105,2,31,1,353,52.5,9.0
Upscale safe neighborhood Master Bedroom by subway,15838559,Queens,Forest Hills,40.71447,-73.85181,Private room,59,2,6,4,6,29.5,368.0
"Private Bedroom on Upper West, Manhattan",76537707,Manhattan,Upper West Side,40.795,-73.97479,Private room,67,12,1,1,0,5.583333333333333,403.0
"Budget Friendly, Spacious Place 10 min to NYC",2788934,Brooklyn,Greenpoint,40.72179,-73.9447,Private room,61,1,30,2,1,61.0,27.0
✴SPACIOUS HOMEY✴ 2 BD Sleeps 6! Brooklyn NY,479986,Brooklyn,Williamsburg,40.70768,-73.95137,Entire home/apt,170,2,77,1,10,85.0,6.0
1BR in downtown Manhattan,46803679,Manhattan,West Village,40.73177,-74.00162,Entire home/apt,100,3,0,1,0,33.333333333333336,0.0
The Blue Bungalow of Rockaway Beach,1106731,Queens,Rockaway Beach,40.5886,-73.8124,Entire home/apt,86,2,2,2,0,43.0,422.0
Cozy private room  in Astoria,16015663,Queens,Ditmars Steinway,40.77371,-73.91689,Private room,85,3,10,1,88,28.333333333333332,34.0
Family friendly 2 bedroom. NYC life and 1000 sq ft,34948714,Manhattan,Upper West Side,40.79557,-73.97632,Entire home/apt,145,59,0,1,0,2.457627118644068,0.0
Quaint SoHo Home Away From Home in The Big Apple!,187301833,Manhattan,SoHo,40.72095,-73.99961,Entire home/apt,210,3,34,1,37,70.0,12.0
"1 Bedroom in Affluent, Serene Bronx Neighborhood",187312110,Bronx,Fieldston,40.88764,-73.90449,Private room,50,1,28,1,73,50.0,1.0
Stylish NYC Art Loft #2,34643568,Manhattan,East Harlem,40.79244,-73.94028,Private room,80,3,18,6,88,26.666666666666668,7.0
Sunny Space in Sunnyside - 15 min to Times Square.,170085232,Queens,Sunnyside,40.74425,-73.91768,Private room,50,1,74,1,0,50.0,185.0
Cosy Room in Bushwick Collective Near JMZ Trains,27163168,Brooklyn,Bushwick,40.69639,-73.93246,Private room,50,3,1,1,0,16.666666666666668,426.0
Luxury Room in Peaceful Area 25 min to Time Square,187340835,Queens,Forest Hills,40.71082,-73.85112,Private room,50,1,72,1,228,50.0,8.0
Cozy Room on Hewes with Rooftop Lounge,117367030,Brooklyn,Williamsburg,40.70703,-73.95434,Private room,151,3,12,1,0,50.333333333333336,248.0
Private Room,65119217,Manhattan,East Village,40.72745,-73.98537,Private room,200,1,1,1,363,200.0,416.0
High rise Suite with beautiful city views!,54481883,Manhattan,Gramercy,40.73805,-73.98415,Entire home/apt,150,4,4,2,0,37.5,313.0
Cozy large studio in a heart of West Village,25912435,Manhattan,Greenwich Village,40.73384,-73.99807,Entire home/apt,147,3,13,1,0,49.0,4.0
Apartment in sun drenched Upper Manhattan,17778872,Manhattan,Morningside Heights,40.80937,-73.95881,Entire home/apt,350,3,0,1,0,116.66666666666667,0.0
Beautiful Townhouse,9922513,Brooklyn,Prospect-Lefferts Gardens,40.66247,-73.95011,Entire home/apt,200,4,1,1,21,50.0,400.0
Speakeasy Inn Bushwick Four,24020292,Brooklyn,Bushwick,40.70122,-73.91836,Private room,70,1,44,4,59,70.0,19.0
[Priv Rooftop] Sunny-Spacious duplex Penthouse,187388261,Brooklyn,Bedford-Stuyvesant,40.68135,-73.93709,Entire home/apt,140,8,1,1,0,17.5,189.0
Cozy Studio in Queens,24373940,Queens,East Elmhurst,40.75503,-73.89607,Entire home/apt,109,60,0,1,365,1.8166666666666667,0.0
Sunny apartment,3405917,Queens,Sunnyside,40.74597,-73.91434,Private room,55,3,26,1,1,18.333333333333332,21.0
Conveniently located to  manhattan,132669029,Bronx,Throgs Neck,40.82601,-73.81907,Private room,50,3,19,4,8,16.666666666666668,26.0
Posh Alcove Studio: Everything You Need For NYC!,28159250,Manhattan,Kips Bay,40.7385,-73.97945,Entire home/apt,200,2,43,1,284,100.0,3.0
Spacious  and Bright Studio in Hell’s Kitchen,78261482,Manhattan,Hell's Kitchen,40.76293,-73.99347,Entire home/apt,190,4,16,2,20,47.5,30.0
Greenhouse APT,21764391,Brooklyn,Williamsburg,40.71166,-73.95739,Entire home/apt,200,3,7,1,67,66.66666666666667,174.0
Private Bedroom in Bushwick / Myrtle-Wyckoff L & M,58953152,Brooklyn,Bushwick,40.70065,-73.91135,Private room,49,1,29,2,0,49.0,50.0
Lovely & Sunny 2 Bedroom Home,187487947,Brooklyn,Greenpoint,40.73228,-73.95539,Entire home/apt,119,1,63,6,0,119.0,37.0
1 Bedroom available in a four bedroom house,25109819,Queens,Astoria,40.75989,-73.91571,Private room,40,1,5,1,0,40.0,404.0
Furnished Midtown One Bedroom Beauty,120762452,Manhattan,Murray Hill,40.75028,-73.97702,Entire home/apt,210,30,1,50,365,7.0,359.0
Charming Park Slope 1 Bedroom Apartment,3082771,Brooklyn,Park Slope,40.67238,-73.97607,Entire home/apt,105,7,8,1,43,15.0,274.0
Sunny place,39774366,Manhattan,Upper East Side,40.77882,-73.95054,Entire home/apt,86,27,2,1,154,3.185185185185185,197.0
Sunny NYC Studio steps from Central Park,1092203,Manhattan,Upper West Side,40.78277,-73.97604,Entire home/apt,150,4,12,1,0,37.5,99.0
Pleasant Place JFK Private Housings Complex,26602392,Queens,Springfield Gardens,40.66204,-73.76597,Private room,60,1,50,2,355,60.0,12.0
Treetop Chic - Prime Williamsburg Boutique Home,3494371,Brooklyn,Williamsburg,40.7135,-73.95468,Entire home/apt,225,10,5,1,150,22.5,9.0
Bright Room in Williamsburg,187530856,Brooklyn,Williamsburg,40.70896,-73.94754,Private room,157,1,6,2,365,157.0,253.0
A seriene space in Bushwick,187532995,Brooklyn,Bushwick,40.70447,-73.92589,Private room,70,4,2,1,363,17.5,407.0
"WHOLE APARTMENT, 15 MINUTES TO MANHATTAN",75981937,Queens,Astoria,40.76197,-73.92335,Entire home/apt,140,15,2,2,71,9.333333333333334,186.0
“Studio” ideally located  across Golf Course,132669029,Bronx,Throgs Neck,40.81437,-73.82774,Entire home/apt,74,2,37,4,70,37.0,25.0
sunny apartment on the Ocean,187536544,Brooklyn,Brighton Beach,40.57707,-73.96303,Entire home/apt,150,5,8,1,179,30.0,183.0
Sweet Home at Washington Heights,186679495,Manhattan,Washington Heights,40.84698,-73.93629,Entire home/apt,75,1,81,1,171,75.0,6.0
"Private Room In Brooklyn,",113890236,Brooklyn,Bensonhurst,40.60997,-73.98022,Private room,40,2,2,1,0,20.0,371.0
Sunny 2BR Apt Near Columbia University,21573011,Manhattan,Upper West Side,40.80001,-73.96459,Entire home/apt,180,2,15,1,18,90.0,6.0
Large Room with Balcony in Brownstone Townhouse,20555097,Brooklyn,Bedford-Stuyvesant,40.68236,-73.9277,Private room,37,3,13,2,0,12.333333333333334,38.0
"Perfect for groups! 3BR, 2Bath feet from Subway!",97042500,Manhattan,Harlem,40.80393,-73.95205,Entire home/apt,344,2,9,4,25,172.0,166.0
"MARTIAL LOFT 3: REDEMPTION (upstairs, 3rd room)",15787004,Brooklyn,Bushwick,40.69501,-73.92296,Private room,40,3,2,5,0,13.333333333333334,257.0
"Beautiful, sunny 1 bedroom off Graham Ave",5024658,Brooklyn,Williamsburg,40.716,-73.94434,Entire home/apt,130,7,1,1,9,18.571428571428573,393.0
Williamsburg Gem in BK! Queen BR in Luxury Apt,1799439,Brooklyn,Williamsburg,40.71543,-73.94278,Private room,99,2,7,1,0,49.5,293.0
Lovely One Bedroom Apartment in the East Village!!,70043681,Manhattan,East Village,40.72734,-73.97528,Entire home/apt,142,2,50,1,278,71.0,7.0
Boutique huge apartment for families with kids,1478535,Manhattan,Upper West Side,40.78118,-73.98122,Entire home/apt,550,7,0,1,8,78.57142857142857,0.0
Private Room in Bed-Stuy,28778026,Brooklyn,Bedford-Stuyvesant,40.69401,-73.95692,Private room,70,1,20,2,87,70.0,44.0
Hiéroglyphe,187648135,Bronx,Allerton,40.86778,-73.85491,Private room,45,1,38,1,85,45.0,7.0
Large Private Room With Three Windows,137129564,Queens,Flushing,40.75422,-73.81586,Private room,59,1,25,4,77,59.0,130.0
NYC Studio near Central Park and the Hudson River,27958360,Manhattan,Upper West Side,40.78136,-73.98225,Entire home/apt,160,2,20,1,6,80.0,15.0
The Red House,135502033,Queens,Rockaway Beach,40.58415,-73.81243,Private room,125,1,30,1,342,125.0,2.0
R Bright & Cozy & Modern room 30 mins to Manhattan,130903736,Brooklyn,Bedford-Stuyvesant,40.6921,-73.93398,Private room,59,1,97,1,25,59.0,12.0
Sonder | 21 Chelsea | Artsy 1BR + Rooftop,12243051,Manhattan,Chelsea,40.7429,-73.9956,Entire home/apt,239,29,0,96,335,8.241379310344827,0.0
Fun tourist family friendly Flatiron Loft,187684303,Manhattan,Kips Bay,40.73992,-73.98272,Entire home/apt,200,2,16,1,6,100.0,60.0
Large Apt + Backyard,14269481,Brooklyn,Williamsburg,40.70012,-73.95082,Entire home/apt,130,3,2,1,3,43.333333333333336,188.0
Charming apartment in the heart of Sunnyside,7822898,Queens,Sunnyside,40.74617,-73.91592,Entire home/apt,104,2,6,1,141,52.0,315.0
Sleek Studio in FiDi by Sonder,12243051,Manhattan,Financial District,40.70571,-74.00833,Entire home/apt,182,29,1,96,333,6.275862068965517,51.0
Comfortable an Nice Bedroom to relax,187718165,Queens,Briarwood,40.71007,-73.81483,Private room,30,1,24,1,6,30.0,26.0
Emerald's View,101216314,Manhattan,Harlem,40.80848,-73.94271,Private room,65,1,28,1,163,65.0,136.0
2 BEDROOM APT-walk to CENTRAL PARK and restaurants,7834073,Manhattan,East Harlem,40.7879,-73.94796,Entire home/apt,250,2,27,1,31,125.0,18.0
Queens C Place,156716488,Queens,South Ozone Park,40.66906,-73.79254,Private room,60,3,2,2,180,20.0,238.0
Queens C Place,156716488,Queens,South Ozone Park,40.66872,-73.79417,Private room,48,3,15,2,365,16.0,6.0
Large 2BR apartment in Astoria near Midtown + LGA,6194487,Queens,Astoria,40.76207,-73.90541,Entire home/apt,149,2,47,3,308,74.5,13.0
THE BROOKLYN BLUE HOUSE 2,183127881,Brooklyn,Canarsie,40.64487,-73.90081,Private room,59,2,56,4,365,29.5,31.0
"Sunny, Spacious Upper West Side Studio",15220605,Manhattan,Upper West Side,40.80389,-73.96859,Entire home/apt,100,3,1,1,0,33.333333333333336,385.0
Quiet home,158461160,Brooklyn,Bedford-Stuyvesant,40.68828,-73.92329,Entire home/apt,62,30,2,6,255,2.066666666666667,205.0
Industrial Loft/ palace,52991771,Brooklyn,Downtown Brooklyn,40.69489,-73.98322,Entire home/apt,135,4,27,1,57,33.75,17.0
Art双层屋,28907641,Queens,Flushing,40.7632,-73.83098,Private room,95,1,78,2,87,95.0,10.0
JFK/QNS Home Away From Home Full private apartment,175019394,Queens,Jamaica,40.6706,-73.7794,Entire home/apt,450,1,3,6,83,450.0,371.0
Private room avaliable in the private house,24704779,Brooklyn,Sheepshead Bay,40.58996,-73.95835,Private room,59,5,3,1,97,11.8,359.0
Private Room in a Two bedroom apartment,3090750,Manhattan,Upper East Side,40.77106,-73.95013,Private room,59,2,4,2,0,29.5,409.0
"Cozy bedroom conveniently located, close Manhattan",132669029,Bronx,Throgs Neck,40.82696,-73.81927,Private room,40,4,34,4,37,10.0,17.0
"Stunning, oversized 2 Bed, 2 Bath in Prime Wburg",2316071,Brooklyn,Williamsburg,40.71136,-73.9562,Entire home/apt,215,2,8,1,77,107.5,33.0
"""Home sweet Home :) """,187822021,Queens,Astoria,40.7645,-73.9238,Entire home/apt,120,30,5,1,5,4.0,121.0
"Cozy Near LGA, Center of Queens RM2",187822288,Queens,East Elmhurst,40.76921,-73.87132,Private room,49,1,128,5,278,49.0,16.0
Luxury Room in Upscale Penthouse w PRIVATE Rooftop,117341565,Manhattan,Little Italy,40.71835,-73.99757,Private room,41,240,1,1,0,0.17083333333333334,366.0
Cozy Tropical NYC Room with Stunning View,36364146,Manhattan,Morningside Heights,40.80672,-73.96713,Private room,125,6,3,1,34,20.833333333333332,192.0
Large Greenwich Village 2 Bedroom!,120006972,Manhattan,Greenwich Village,40.72923,-74.00176,Entire home/apt,250,3,14,1,297,83.33333333333333,17.0
Cute studio steps from Prospect Park,19508332,Brooklyn,Prospect-Lefferts Gardens,40.66042,-73.9602,Entire home/apt,75,2,7,1,9,37.5,31.0
Brooklyn Room with a Rooftop,187861161,Brooklyn,Crown Heights,40.67334,-73.93269,Private room,34,5,1,1,0,6.8,191.0
Luxury Apartment in Midtown East,95051172,Manhattan,Midtown,40.75377,-73.97302,Private room,169,2,0,1,0,84.5,0.0
The Shelf: Bedstuy Cozy room,148102066,Brooklyn,Bedford-Stuyvesant,40.68593,-73.94396,Private room,60,1,85,4,0,60.0,188.0
The Best location in Upper East Side!,77243829,Manhattan,Upper East Side,40.77751,-73.94774,Entire home/apt,375,2,0,1,0,187.5,0.0
Beautiful Bedroom in shared Williamsburg Apartment,90685499,Brooklyn,Williamsburg,40.71187,-73.95864,Private room,150,1,0,2,0,150.0,0.0
The Amazing Stay,187872824,Manhattan,Upper West Side,40.80013,-73.95907,Entire home/apt,150,1,6,2,179,150.0,384.0
Luxury 1BR close to Columbus Circle/Central Park,102351927,Manhattan,Hell's Kitchen,40.76482,-73.98674,Entire home/apt,224,7,10,1,0,32.0,2.0
JFK Queens/House of Suedajoy#5(dis by flexibility,175019394,Queens,Jamaica,40.67121,-73.77859,Private room,80,1,68,6,153,80.0,16.0
Chic and Cozy Brooklyn Bedroom,26474200,Brooklyn,Greenpoint,40.72373,-73.94088,Private room,100,3,9,1,365,33.333333333333336,41.0
Great place by the park with private entrance !!!!,187889772,Queens,Ditmars Steinway,40.77676,-73.92069,Entire home/apt,100,1,4,1,0,100.0,389.0
"1st Fl Studio on Upper East, close to Central Park",37421312,Manhattan,Upper East Side,40.77096,-73.95334,Entire home/apt,125,7,3,1,0,17.857142857142858,403.0
Modern Studio with Private Terrace,10901705,Brooklyn,Williamsburg,40.70763,-73.94797,Entire home/apt,120,1,20,1,0,120.0,177.0
Gorgeous Brooklyn Oasis,187895786,Brooklyn,Bedford-Stuyvesant,40.69327,-73.95725,Private room,75,2,0,1,87,37.5,0.0
Great House for Large Groups; Close to Manhattan,136812761,Brooklyn,Bedford-Stuyvesant,40.69448,-73.93657,Entire home/apt,600,1,29,3,162,600.0,7.0
JFK Queens Home away from Home House of Suedajoy 4,175019394,Queens,Jamaica,40.67228,-73.77804,Private room,70,1,81,6,85,70.0,16.0
新一处客居(New place 1),187908645,Queens,Flushing,40.75582,-73.83215,Private room,60,1,9,4,57,60.0,160.0
Spacious Bright Room near Columbia University,187914509,Manhattan,Upper West Side,40.80078,-73.96394,Private room,50,5,4,1,0,10.0,347.0
Cozy 3 bedroom apartment in HEART of East Village!,32844422,Manhattan,East Village,40.7292,-73.98491,Entire home/apt,149,3,0,1,0,49.666666666666664,0.0
"Studio, Empire State Building area.",135131537,Manhattan,Midtown,40.74846,-73.98708,Entire home/apt,180,6,38,2,27,30.0,22.0
The Perfect Escape,142455925,Manhattan,Upper East Side,40.7661,-73.95419,Entire home/apt,118,3,3,1,0,39.333333333333336,384.0
Cozy 1-Bedroom Apartment in Harlem,29026712,Manhattan,Harlem,40.81717,-73.93918,Entire home/apt,70,2,2,1,0,35.0,399.0
Luxury Central Park Views Iconic building,2570750,Manhattan,Midtown,40.76682,-73.97943,Entire home/apt,1195,3,27,1,40,398.3333333333333,56.0
"Huge, Sunny, & Private Room - 5 min to Times Sq.",187980677,Manhattan,Chelsea,40.75069,-73.99736,Private room,175,1,46,1,109,175.0,19.0
Home Sweet Home in Flatbush,69469129,Brooklyn,Flatbush,40.65341,-73.96238,Entire home/apt,165,5,8,1,258,33.0,2.0
暑假短租,78823148,Manhattan,Kips Bay,40.74235,-73.97971,Private room,150,5,1,1,0,30.0,416.0
"Bright and airy, close to Central Park and museums",5679153,Manhattan,East Harlem,40.78973,-73.94965,Entire home/apt,50,4,17,1,0,12.5,32.0
Large  room near Columbia University Med school,186155189,Manhattan,Washington Heights,40.84332,-73.94131,Private room,50,1,8,3,53,50.0,20.0
Inexpensive Private Rm w/ NYC/SIUH/RUMC Access 3,104812805,Staten Island,Arrochar,40.59679,-74.08444,Private room,33,4,17,8,316,8.25,2.0
新一处客居(Newplace2),187908645,Queens,Flushing,40.75686,-73.83279,Private room,60,1,33,4,49,60.0,16.0
新一处客居(New place3),187908645,Queens,Flushing,40.75539,-73.83203,Private room,50,1,20,4,2,50.0,31.0
Dreamy centrally located Bedroom with city views!,3480784,Manhattan,Little Italy,40.71953,-73.99685,Private room,110,2,34,1,160,55.0,7.0
Madison Square Studio w/ Elevator,188023318,Manhattan,Midtown,40.74234,-73.98277,Entire home/apt,145,5,0,4,40,29.0,0.0
Lovely Lincoln Center Studio,3033697,Manhattan,Upper West Side,40.78054,-73.984,Entire home/apt,137,6,5,1,0,22.833333333333332,48.0
Big & Bright Bed-Stuy Bushwick Border Boudoir,2967674,Brooklyn,Bedford-Stuyvesant,40.68923,-73.92682,Private room,50,30,4,2,21,1.6666666666666667,269.0
Light filled spacious 2 bed room apartment,17620937,Manhattan,Washington Heights,40.83534,-73.94354,Entire home/apt,150,2,3,1,35,75.0,120.0
Bed-Stuy 2 Bedroom Beauty w/ Spacious Living Room,26178850,Brooklyn,Bedford-Stuyvesant,40.68344,-73.93308,Private room,45,5,19,1,199,9.0,42.0
Historic Strivers’ Row with a View,13926627,Manhattan,Harlem,40.81811,-73.94497,Private room,75,2,15,1,140,37.5,39.0
Private Bedroom with Full Bed in Wash Heights,188050267,Manhattan,Washington Heights,40.83827,-73.93976,Private room,50,2,0,1,0,25.0,0.0
"Spacious & cozy room - Upper West Side, Manhattan",188051537,Manhattan,Upper West Side,40.80063,-73.96936,Private room,91,4,2,1,197,22.75,195.0
Lawrence Beach House,173852911,Queens,Far Rockaway,40.59486,-73.73837,Entire home/apt,250,2,22,1,47,125.0,1.0
Musician's Apartment Near the Park,25371059,Brooklyn,Prospect-Lefferts Gardens,40.66364,-73.94978,Entire home/apt,80,60,15,1,2,1.3333333333333333,14.0
"Sunny, zen spot in the Heart of East Village",150238950,Manhattan,East Village,40.72691,-73.9813,Entire home/apt,136,2,6,1,39,68.0,36.0
"2 Private Rooms, 1 min to J train, Free Breakfast",182260692,Brooklyn,Cypress Hills,40.68187,-73.87985,Private room,99,2,48,2,327,49.5,5.0
Spacious Apartment Steps Away from Yankee Stadium,6762900,Bronx,Highbridge,40.83088,-73.92779,Entire home/apt,103,2,40,1,248,51.5,8.0
Boho in WaHi,15139808,Manhattan,Washington Heights,40.83309,-73.94008,Private room,175,1,0,1,63,175.0,0.0
A Hidden gem in the heart of Washington Heights,188160057,Manhattan,Washington Heights,40.8483,-73.93115,Private room,125,3,0,1,363,41.666666666666664,0.0
"True sanctuary, historic fort greene/clinton hill",83978022,Brooklyn,Clinton Hill,40.69538,-73.9701,Entire home/apt,180,30,0,1,0,6.0,0.0
One Bedroom apartment in great neighborhood,188169807,Manhattan,Upper West Side,40.80439,-73.96755,Entire home/apt,120,2,16,1,1,60.0,1.0
Entire Cozy Apartment in Center of East Village,187094395,Manhattan,East Village,40.72532,-73.98023,Entire home/apt,164,3,0,1,0,54.666666666666664,0.0
Glendale apartment,177560095,Queens,Glendale,40.69991,-73.88952,Private room,50,7,17,1,66,7.142857142857143,89.0
Beautiful Private Bed & Bathroom (no kitchen),40237342,Brooklyn,Bedford-Stuyvesant,40.69089,-73.94676,Private room,80,30,10,1,37,2.6666666666666665,281.0
Large 1 bedroom and private bath in Astoria,108302188,Queens,Astoria,40.75755,-73.92854,Private room,49,3,8,1,18,16.333333333333332,52.0
Harlem Vibes,58964906,Manhattan,Harlem,40.82331,-73.94403,Private room,50,5,1,1,0,10.0,427.0
Huge master bedroom W/ private bath in Brooklyn,48418910,Queens,Ridgewood,40.70289,-73.91156,Private room,120,2,0,2,0,60.0,0.0
Entire suite close to LGA & JFK with free parking,16308032,Queens,East Elmhurst,40.75891,-73.87819,Entire home/apt,60,1,59,1,150,60.0,35.0
Cozy room in south Harlem - 10 mins to Columbia,11022916,Manhattan,Harlem,40.80808,-73.95259,Private room,45,1,14,1,0,45.0,267.0
Large Bedroom in Harlem,15940253,Manhattan,Harlem,40.82582,-73.946,Private room,70,4,3,2,0,17.5,182.0
A cozy studio in Chelsea,30558890,Manhattan,Chelsea,40.75164,-73.99727,Entire home/apt,120,30,2,1,0,4.0,190.0
Beautiful and Spacious UES Gallery Like apartment,51112551,Manhattan,Upper East Side,40.7618,-73.96546,Entire home/apt,375,2,0,1,83,187.5,0.0
Spacious Apt. in Bushwick for summer occupancy,116460196,Brooklyn,Williamsburg,40.70704,-73.92903,Private room,75,7,0,1,0,10.714285714285714,0.0
Charming Room in Spacious Clinton Hill Apartment,1005489,Brooklyn,Clinton Hill,40.68409,-73.96467,Private room,70,7,2,1,89,10.0,32.0
Beautiful and Spacious Apartment,79651295,Queens,Jamaica,40.67819,-73.78919,Entire home/apt,60,1,0,4,177,60.0,0.0
"Private room in Ridgewood, near the L line, for 2",140057330,Queens,Ridgewood,40.69649,-73.90564,Private room,55,1,20,7,107,55.0,50.0
Sunny Bushwick apartment,84453766,Brooklyn,Williamsburg,40.70229,-73.93774,Private room,80,10,1,1,0,8.0,427.0
Spacious One Bedroom in Downtown Manhattan,14396470,Manhattan,Chinatown,40.71694,-74.00076,Entire home/apt,150,3,0,1,0,50.0,0.0
Bushwick with outdoor space!,39190931,Brooklyn,Bushwick,40.70202,-73.92675,Entire home/apt,150,28,0,1,90,5.357142857142857,0.0
Home away from home in Harlem,5074874,Manhattan,Harlem,40.80793,-73.95127,Entire home/apt,225,2,3,1,6,112.5,349.0
"""The Little House by the Sea""",188328775,Queens,Neponsit,40.57043,-73.85821,Entire home/apt,200,2,7,1,44,100.0,2.0
Renovated Garden Townhouse Apartment,188337220,Brooklyn,Bedford-Stuyvesant,40.68452,-73.91614,Entire home/apt,99,3,49,1,102,33.0,6.0
1-Bed Apt on East River - 1 stop from Manhattan!,17005953,Queens,Long Island City,40.74462,-73.94913,Entire home/apt,110,1,3,1,0,110.0,370.0
Gorgeous 2 BR 2 BA Condo in Flushing Chinatown,5962328,Queens,Flushing,40.76025,-73.8221,Entire home/apt,115,30,1,15,291,3.8333333333333335,27.0
